,Country,Energy Supply,Energy Supply per Capita,% Renewable
0,Afghanistan,321000000,10,78.66928
1,Albania,102000000,35,100
2,Algeria,1959000000,51,0.55101
3,American Samoa,,,0.641026
4,Andorra,9000000,121,88.69565
5,Angola,642000000,27,70.90909
6,Anguilla,2000000,136,0
7,Antigua and Barbuda,8000000,84,0
8,Argentina,3378000000,79,24.06452
9,Armenia,143000000,48,28.23606
10,Aruba,12000000,120,14.87069
11,Australia,5386000000,231,11.81081
12,Austria,1391000000,164,72.45282
13,Azerbaijan,567000000,60,6.384345
14,Bahamas,45000000,118,0
15,Bahrain,574000000,425,0
16,Bangladesh,1625000000,10,1.966329
17,Barbados,19000000,69,0
18,Belarus,1142000000,120,0.463389
19,Belgium,2338000000,210,9.959739
20,Belize,13000000,39,64.69003
21,Benin,170000000,16,0
22,Bermuda,6000000,88,0
23,Bhutan,63000000,83,100
24,Bolivia,336000000,32,31.47712
25,"Bonaire, Sint Eustatius and Saba",5000000,213,0
26,Bosnia and Herzegovina,266000000,70,41.46467
27,Botswana,86000000,39,0.131406
28,Brazil,12149000000,59,69.64803
29,British Virgin Islands,2000000,85,0
30,Brunei Darussalam,127000000,310,0.045434
31,Bulgaria,703000000,97,17.23461
32,Burkina Faso,164000000,10,14.50068
33,Burundi,58000000,6,86.79245
34,Cabo Verde,7000000,15,21.22762
35,Cambodia,250000000,17,57.31159
36,Cameroon,307000000,14,70.88626
37,Canada,10431000000,296,61.94543
38,Cayman Islands,8000000,131,0
39,Central African Republic,23000000,5,85.63536
40,Chad,77000000,6,0
41,Chile,1613000000,92,28.00657
42,China,127191000000,93,19.75491
43,Hong Kong,585000000,82,0
44,"China, Macao Special Administrative Region",47000000,83,0
45,Colombia,1513000000,32,63.00284
46,Comoros,5000000,7,11.62791
47,Congo,102000000,23,57.74887
48,Cook Islands,1000000,48,0
49,Costa Rica,222000000,47,88.73642
50,Côte d'Ivoire,547000000,25,22.82278
51,Croatia,321000000,75,64.28412
52,Cuba,585000000,51,0.663532
53,Curaçao,78000000,502,0
54,Cyprus,82000000,71,6.480186
55,Czech Republic,1751000000,166,7.067134
56,Democratic People's Republic of Korea,612000000,25,70.18029
57,Democratic Republic of the Congo,888000000,12,99.5943
58,Denmark,725000000,129,33.53766
59,Djibouti,11000000,13,0
60,Dominica,2000000,28,36.63366
61,Dominican Republic,339000000,33,11.2506
62,Ecuador,680000000,43,47.71486
63,Egypt,3422000000,39,8.805713
64,El Salvador,176000000,29,56.44505
65,Equatorial Guinea,73000000,91,6.363636
66,Eritrea,34000000,7,0.550964
67,Estonia,258000000,195,4.180791
68,Ethiopia,1394000000,15,99.90825
69,Faeroe Islands,9000000,179,38.56655
70,Falkland Islands,1000000,258,33.33333
71,Fiji,31000000,36,62.00466
72,Finland,1374000000,252,19.53657
73,France,10597000000,166,17.02028
74,French Guiana,13000000,52,62.00466
75,French Polynesia,12000000,44,26.8556
76,Gabon,99000000,60,37.5
77,Gambia,14000000,7,0
78,Georgia,163000000,40,82.22487
79,Germany,13261000000,165,17.90153
80,Ghana,316000000,12,63.10263
81,Gibraltar,8000000,245,0
82,Greece,993000000,90,24.79528
83,Greenland,9000000,166,78.125
84,Grenada,5000000,43,0
85,Guadeloupe,33000000,70,14.81481
86,Guam,,,0
87,Guatemala,452000000,29,49.52168
